  77, 157, 179,
  77, 157, 179,
  78, 157, 179,
  77, 157, 180,
  77, 159, 180,
  78, 157, 180,
  77, 157, 180,
  77, 157, 180,
  77, 157, 180,
  77, 157, 181,
  77, 158, 180,
  77, 158, 180,
  77, 157, 179,
  78, 158, 179,
  77, 158, 179,
  77, 157, 179,
  77, 157, 180,
  78, 157, 179,
  76, 157, 178,
  75, 157, 179,
  74, 158, 178,
  73, 157, 176,
  73, 156, 175,
  72, 157, 173,
  72, 155, 172,
  72, 155, 172,
  71, 156, 171,
  71, 156, 171,
  71, 156, 171,
  71, 157, 171,
  72, 158, 173,
  72, 156, 173,
  70, 156, 176,
  71, 156, 174,
  71, 156, 174,
  72, 156, 174,
  71, 157, 175,
  72, 156, 175,
  73, 155, 175,
  73, 157, 175,
  72, 156, 176,
  72, 156, 176,
  72, 157, 177,
  71, 156, 177,
  71, 156, 176,
  72, 157, 176,
  72, 156, 176,
  71, 155, 176,
  72, 156, 178,
  72, 156, 177,
  72, 156, 176,
  72, 157, 176,
  72, 158, 175,
  72, 156, 177,
  72, 156, 176,
  72, 156, 175,
  72, 156, 176,
  71, 156, 176,
  72, 156, 176,
-1000,-1000,-1000,
  71, 156, 177,
  71, 156, 175,
  73, 158, 175,
  69, 156, 176,
  70, 156, 175,
  69, 156, 176,
  68, 155, 175,
  67, 156, 175,
  67, 156, 175,
  66, 156, 175,
  62, 154, 173,
  53, 151, 172,
  49, 148, 166,
  43, 139, 154,
  36, 127, 136,
  32, 110, 111,
  26,  85,  85,
  23,  59,  57,
  21,  40,  28,
  16,  16,   1,
  14,   9, -19,
  14,   0, -37,
  12,  -9, -57,
  11, -15, -71,
  10, -19, -79,
  10, -22, -82,
  10, -24, -85,
   9, -33, -88,
   7, -29, -89,
   6, -26, -88,
   5, -27, -86,
   6, -27, -88,
   5, -28, -87,
   7, -27, -87,
   6, -27, -87,
   5, -26, -83,
   5, -30, -85,
   4, -26, -85,
   6, -31, -85,
   6, -28, -84,
   6, -26, -84,
   6, -26, -83,
   6, -24, -83,
   6, -24, -82,
   6, -24, -81,
   6, -23, -79,
   7, -22, -80,
   7, -32, -77,
   7, -22, -76,
   7, -22, -78,
   7, -21, -78,
   7, -22, -77,
   8, -22, -77,
   8, -23, -73,
   9, -20, -76,
  10, -21, -76,
  11, -21, -75,
  13, -20, -74,
  12, -19, -68,
  20, -17, -64,
  23, -10, -53,
  25,   0, -40,
  27,  19,  -9,
  32,  52,  23,
  33,  72,  54,
  37,  89,  86,
  40, 109, 119,
  41, 122, 138,
  41, 132, 152,
  41, 139, 164,
  44, 148, 172,
-1000,-1000,-1000,
  46, 156, 177,
  50, 159, 182,
  56, 161, 182,
  65, 164, 185,
  73, 167, 187,
  81, 168, 186,
  85, 169, 185,
  90, 171, 184,
  93, 171, 186,
  94, 171, 190,
  95, 171, 190,
  95, 172, 191,
  95, 172, 192,
  96, 172, 193,
  96, 172, 195,
  96, 173, 195,
  96, 173, 195,
  96, 172, 196,
  96, 173, 195,
  96, 174, 195,
  95, 171, 195,
  94, 171, 195,
  94, 171, 197,
  93, 171, 195,
  94, 171, 195,
  92, 171, 195,
  92, 171, 195,
  90, 171, 192,
  90, 168, 189,
  87, 168, 188,
  85, 168, 186,
  81, 167, 185,
  80, 166, 184,
  80, 167, 184,
  79, 166, 184,
  78, 166, 180,
  79, 166, 183,
  78, 167, 183,
  79, 167, 183,
  79, 166, 183,
  80, 166, 183,
  79, 166, 183,
  79, 165, 183,
  79, 166, 182,
  79, 167, 182,
  79, 166, 182,
  78, 164, 182,
  77, 165, 182,
  77, 165, 181,
  76, 165, 180,
  77, 165, 179,
  76, 164, 179,
  76, 163, 177,
  75, 165, 179,
  75, 165, 179,
  75, 164, 179,
  75, 163, 178,
  75, 164, 178,
  75, 163, 179,
  75, 163, 176,
  75, 163, 178,
  75, 164, 178,
  75, 163, 177,
  75, 162, 177,
  75, 163, 177,
  74, 162, 178,
  74, 162, 177,
  74, 163, 177,
  75, 162, 178,
  75, 162, 177,
