  93, 163, 146,
  92, 161, 147,
  91, 161, 146,
  92, 163, 146,
  91, 162, 146,
  91, 162, 146,
  91, 162, 146,
  90, 163, 147,
  91, 162, 146,
  91, 162, 146,
  91, 162, 146,
  91, 162, 146,
  91, 162, 145,
  91, 163, 145,
  91, 162, 146,
  92, 162, 146,
  91, 162, 146,
  91, 162, 146,
  91, 162, 146,
  90, 162, 145,
  90, 162, 146,
  91, 162, 146,
  90, 162, 146,
  92, 162, 146,
  91, 160, 145,
  91, 162, 146,
  89, 163, 146,
  90, 163, 146,
  90, 165, 144,
  91, 163, 146,
  90, 163, 147,
  90, 163, 146,
  90, 163, 146,
  91, 163, 147,
  90, 162, 146,
  90, 163, 146,
  90, 162, 145,
  89, 163, 146,
  90, 163, 146,
  90, 163, 145,
  90, 162, 146,
  90, 162, 146,
  90, 163, 146,
  89, 163, 145,
  89, 162, 146,
  89, 163, 147,
  89, 163, 145,
  90, 162, 146,
  90, 163, 146,
  89, 163, 146,
  90, 163, 146,
  89, 163, 145,
  90, 162, 146,
  90, 163, 147,
  90, 163, 146,
  90, 163, 147,
  89, 163, 146,
  89, 163, 146,
  88, 163, 145,
  89, 163, 145,
  90, 163, 146,
  89, 163, 146,
  89, 163, 147,
  89, 163, 146,
  89, 162, 145,
  89, 162, 146,
  88, 163, 146,
  89, 162, 146,
  89, 162, 146,
  89, 162, 145,
  89, 163, 145,
  89, 163, 146,
  89, 163, 146,
  90, 163, 145,
  89, 162, 145,
  89, 163, 146,
  88, 164, 145,
  88, 163, 146,
  89, 164, 146,
  89, 162, 145,
  88, 163, 145,
  88, 162, 146,
  88, 163, 145,
  87, 163, 144,
  85, 162, 142,
-1000,-1000,-1000,
  83, 161, 141,
  80, 160, 141,
  78, 157, 141,
  72, 155, 138,
  68, 150, 136,
  66, 141, 129,
  63, 133, 125,
  60, 125, 119,
  54, 116, 113,
  51, 104, 106,
  45,  87,  94,
  44,  76,  81,
  40,  63,  67,
  36,  53,  52,
  33,  41,  38,
  30,  32,  25,
  26,  22,  16,
  24,   7,   6,
  21,   9,  -1,
  20,   5,  -7,
  17,   3, -13,
  16,   0, -17,
  14,  -3, -20,
  13,  -2, -22,
  10,  -4, -23,
   9,  -3, -26,
  12,  -5, -26,
  13,  -4, -26,
  12,  -3, -26,
  12,  -3, -26,
   9,  -3, -26,
  13,  -2, -26,
  13,  -2, -26,
  13, -11, -25,
  14,  -2, -25,
  14,  -2, -24,
  14,   0, -24,
  13,   0, -22,
  10,   0, -22,
  15,   0, -21,
  16,   2, -20,
  18,   3, -18,
  19,   6, -16,
  20,   8, -13,
  21,  12,  -6,
  21,  16,  -4,
  23,  22,   4,
  26,  31,  12,
  25,  37,  20,
  28,  43,  27,
  28,  48,  34,
  30,  55,  42,
  31,  61,  51,
  32,  66,  60,
  34,  73,  66,
  35,  81,  74,
  37,  89,  84,
  38,  96,  92,
  40, 103,  99,
  41, 110, 106,
  41, 114, 112,
  42, 120, 120,
  44, 123, 124,
  47, 128, 128,
  52, 130, 131,
  58, 132, 133,
  61, 135, 134,
-1000,-1000,-1000,
  64, 136, 136,
  69, 137, 137,
  73, 140, 138,
  79, 143, 139,
  83, 146, 143,
  87, 149, 144,
  89, 154, 145,
  90, 156, 148,
  91, 158, 148,
  91, 159, 149,
  93, 160, 149,
  93, 162, 149,
  94, 162, 151,
  95, 163, 151,
  94, 163, 150,
  95, 163, 150,
  95, 163, 152,
  94, 163, 150,
  94, 164, 149,
  94, 162, 150,
  95, 163, 150,
  95, 163, 150,
  94, 162, 150,
  95, 162, 149,
  96, 162, 149,
  96, 161, 149,
  94, 160, 148,
  93, 163, 149,
  94, 162, 148,
  95, 160, 148,
  95, 161, 147,
  94, 160, 147,
  93, 159, 145,
-1000,-1000,-1000,
  92, 158, 143,
  91, 154, 144,
  87, 151, 141,
  84, 148, 141,
  80, 144, 139,
  76, 142, 138,
  72, 139, 137,
  71, 137, 137,
