  81,  99, 143,
  82,  98, 143,
  81, 100, 143,
  81,  99, 142,
  83,  97, 143,
  82, 100, 143,
  82, 100, 143,
  82,  98, 142,
  81,  99, 143,
  82,  99, 143,
  83, 100, 142,
  82, 100, 142,
  82,  99, 143,
  82, 100, 143,
  81,  99, 143,
  81, 100, 143,
  81, 100, 143,
  82, 100, 143,
  82, 100, 143,
  83,  99, 142,
  82, 100, 142,
  82, 100, 143,
  83, 101, 143,
  83, 101, 143,
  83, 100, 143,
  83, 100, 143,
  83, 102, 143,
  84, 101, 143,
  84, 101, 144,
  84, 102, 144,
  84, 101, 144,
  84, 102, 144,
  85, 103, 144,
  85, 102, 144,
  85, 103, 144,
  85, 103, 144,
  86, 103, 144,
  85, 103, 143,
  86, 102, 144,
-1000,-1000,-1000,
  85, 102, 144,
  84, 102, 145,
  83, 100, 143,
  81,  97, 145,
  78,  91, 146,
  71,  81, 147,
  63,  64, 147,
  48,  41, 146,
  34,  21, 141,
  24,   8, 143,
  20,   0, 141,
  17,  -3, 138,
  15,  -6, 140,
  15, -15, 140,
  13,  -9, 140,
  14, -11, 141,
  15, -14, 141,
  14, -10, 141,
  12, -11, 141,
  15, -11, 141,
  14,  -9, 142,
  14, -10, 142,
  14, -10, 142,
  14,  -8, 142,
  15,  -9, 142,
  13,  -7, 144,
  15, -10, 142,
  15,  -7, 143,
  14,  -6, 142,
  15,  -4, 144,
  15,  -5, 143,
  15,  -4, 143,
  15,  -4, 143,
  15,  -4, 143,
  16,  -2, 143,
  17,  -1, 144,
  18,   0, 143,
  21,   1, 143,
  24,   5, 143,
  28,  10, 143,
  35,  18, 143,
  42,  32, 143,
  50,  50, 145,
  59,  63, 144,
  67,  82, 144,
  75,  91, 144,
  83,  95, 147,
  86, 101, 147,
-1000,-1000,-1000,
  90, 103, 148,
  90, 106, 151,
  93, 106, 155,
  94, 107, 159,
  95, 109, 158,
  95, 110, 162,
  96, 110, 165,
  96, 109, 164,
  96, 110, 165,
  96, 110, 166,
  96, 110, 166,
  96, 110, 164,
  96, 110, 166,
  95, 110, 166,
  96, 111, 166,
  96, 110, 165,
  96, 111, 166,
  96, 111, 165,
  96, 109, 165,
  96, 109, 164,
  96, 110, 164,
  96, 110, 166,
  97, 110, 164,
  96, 109, 166,
  96, 109, 164,
  96, 111, 165,
  97, 110, 164,
  97, 110, 165,
  96, 110, 165,
  97, 110, 165,
  97, 109, 165,
  97, 110, 165,
  96, 110, 165,
  97, 110, 165,
  97, 110, 165,
  96, 109, 165,
  96, 109, 164,
  95, 109, 164,
  95, 106, 163,
-1000,-1000,-1000,
  93, 107, 162,
  93, 106, 161,
  92, 105, 162,
  91, 105, 160,
  90, 103, 159,
  87, 101, 154,
  85, 100, 148,
  79,  95, 134,
  71,  90, 117,
  62,  81,  90,
  53,  67,  61,
  39,  48,  31,
  30,  28,  12,
  24,  15,  -3,
  22,   8,  -7,
  22,   0, -12,
  21,   2, -14,
  21,   0, -17,
  17,  -1, -17,
  19,  -1, -18,
  20,  -8, -18,
  20,  -1, -19,
  20,  -1, -19,
  21,   0, -19,
  20,  -1, -19,
  20,  -1, -19,
  20,   0, -17,
  20,  -1, -18,
  21,   0, -17,
  19,   1, -17,
  21,   0, -17,
  21,   1, -16,
  21,   1, -16,
  22,   1, -15,
  24,   0, -12,
  26,   3, -11,
  27,   6,  -6,
  31,   8,  -4,
  38,  13,   1,
  42,  25,   9,
