 162, 119, 157,
 160, 120, 157,
 161, 120, 157,
 161, 120, 157,
 162, 120, 157,
 161, 120, 157,
 159, 121, 154,
 161, 121, 157,
 161, 121, 157,
 164, 119, 157,
 161, 120, 157,
 161, 119, 157,
 160, 120, 157,
 162, 121, 157,
 162, 120, 157,
 161, 120, 158,
 161, 121, 156,
 161, 120, 157,
 161, 121, 154,
 164, 121, 157,
 161, 120, 158,
 161, 120, 157,
 161, 121, 158,
 160, 119, 157,
 160, 120, 157,
 159, 120, 157,
 158, 120, 156,
 158, 118, 155,
 157, 120, 154,
 157, 120, 153,
 157, 118, 152,
 152, 118, 150,
 149, 118, 149,
 147, 117, 147,
 143, 116, 143,
 138, 116, 140,
 135, 113, 137,
 131, 113, 133,
 129, 111, 131,
 125, 108, 130,
 124, 107, 127,
 122, 106, 124,
 121, 104, 121,
 120, 102, 119,
 116, 101, 117,
 114,  98, 116,
 111,  97, 114,
 109,  95, 113,
 106,  95, 110,
 104,  93, 110,
 102,  92, 108,
 100,  92, 107,
  98,  91, 105,
  96,  90, 103,
  93,  89, 102,
  89,  85,  99,
  86,  86,  97,
  81,  84,  96,
  75,  84,  94,
  68,  82,  93,
  64,  80,  97,
  61,  79,  97,
  58,  82,  99,
  55,  84, 103,
  51,  86, 104,
  54,  88, 106,
  60,  87, 107,
  64,  88, 102,
  67,  86, 101,
  72,  86,  97,
  74,  87,  96,
  75,  85,  95,
  80,  87,  95,
  82,  88,  95,
  85,  89,  97,
  86,  90,  98,
  88,  91,  98,
  91,  92, 100,
  93,  92, 100,
  96,  91,  97,
  99,  92,  94,
 102,  89,  94,
 107,  91,  94,
 110,  90,  91,
 113,  90,  94,
 114,  90,  95,
 116,  91,  96,
 118,  92,  97,
 119,  95, 102,
 122,  99, 106,
 124, 103, 110,
 127, 106, 115,
 136, 109, 120,
 145, 112, 124,
 153, 114, 127,
 157, 117, 130,
 159, 118, 135,
 163, 119, 140,
 166, 120, 145,
 167, 120, 149,
 169, 122, 155,
 172, 123, 159,
 173, 123, 163,
 175, 123, 165,
 175, 124, 169,
 176, 125, 170,
 176, 123, 172,
 175, 124, 174,
 176, 126, 174,
-1000,-1000,-1000,
 175, 124, 175,
 177, 124, 172,
 173, 124, 173,
 168, 124, 170,
 157, 121, 162,
 146, 118, 153,
 129, 113, 141,
 118, 104, 127,
 104,  91, 109,
  86,  74,  89,
  68,  57,  68,
  52,  35,  39,
  37,  12,  16,
  29,  -2,  -7,
  24, -13, -22,
  22, -20, -31,
  21, -25, -36,
  19, -29, -40,
  18, -33, -42,
  17, -34, -42,
  14, -34, -44,
  16, -35, -45,
  16, -35, -44,
  15, -35, -43,
  16, -35, -44,
  15, -34, -45,
  15, -34, -44,
  15, -35, -44,
  15, -34, -44,
  15, -35, -44,
  15, -33, -42,
  15, -31, -42,
  15, -29, -41,
  15, -30, -41,
  17, -28, -40,
  18, -26, -37,
  19, -25, -37,
  25, -22, -34,
  34, -18, -32,
  43, -12, -30,
  55,  -2, -22,
  66,   9, -13,
  74,  21,   2,
  82,  41,  18,
  90,  60,  46,
 100,  80,  74,
 119,  94,  92,
 138, 106, 106,
 149, 113, 115,
 155, 115, 124,
 157, 117, 130,
 157, 119, 137,
 157, 119, 144,
-1000,-1000,-1000,
 159, 121, 149,
 159, 121, 154,
 159, 122, 155,
 160, 121, 158,
 157, 122, 159,
 157, 123, 160,
 159, 119, 161,
 157, 122, 161,
 155, 122, 161,
 155, 120, 160,
 155, 122, 160,
 155, 122, 160,
 153, 118, 159,
 151, 121, 159,
 151, 122, 159,
 153, 117, 159,
 150, 121, 158,
 150, 121, 159,
 152, 119, 158,
 151, 121, 158,
 150, 121, 158,
 149, 120, 158,
 149, 119, 158,
 150, 121, 158,
 150, 121, 158,
 151, 121, 158,
 152, 121, 158,
 150, 122, 158,
 151, 117, 156,
 153, 121, 158,
 151, 121, 158,
 150, 117, 158,
 149, 121, 158,
 151, 122, 157,
 152, 119, 158,
 151, 120, 158,
 150, 122, 158,
 150, 119, 155,
 151, 120, 158,
 151, 121, 158,
 149, 121, 158,
 151, 119, 158,
 151, 121, 158,
 153, 122, 158,
 151, 118, 158,
 150, 121, 158,
 150, 122, 158,
 152, 119, 157,
 150, 122, 157,
 150, 122, 157,
 150, 119, 157,
 150, 121, 158,
 151, 121, 158,
 151, 119, 158,
 151, 121, 158,
 151, 121, 158,
 150, 121, 157,
 150, 120, 157,
 152, 121, 157,
 152, 122, 157,
 150, 120, 157,
 150, 121, 157,
 151, 122, 157,
 152, 118, 155,
 153, 121, 157,
 149, 122, 159,
 151, 119, 157,
 151, 121, 157,
 150, 121, 157,
 151, 120, 157,
 149, 122, 158,
 150, 122, 157,
 153, 119, 157,
 152, 120, 157,
 149, 121, 157,
 151, 120, 157,
 152, 119, 157,
 151, 121, 156,
 149, 122, 156,
 147, 120, 156,
 147, 120, 156,
 143, 121, 153,
 138, 119, 151,
 132, 118, 149,
 128, 117, 145,
 123, 112, 142,
 120, 112, 140,
 119, 110, 139,
 116, 104, 137,
 111, 103, 131,
 107,  98, 130,
 100,  88, 127,
  95,  84, 126,
  86,  80, 126,
-1000,-1000,-1000,
  71,  77, 131,
  65,  76, 132,
  60,  79, 134,
  60,  81, 137,
  62,  79, 138,
  65,  84, 139,
  66,  85, 140,
  70,  86, 141,
  72,  88, 143,
  72,  90, 141,
  74,  92, 143,
  76,  93, 145,
  76,  94, 145,
  75,  94, 145,
  71,  88, 145,
  62,  78, 143,
  44,  65, 142,
  36,  50, 138,
  27,  23, 136,
  21,   8, 134,
  20,  -4, 132,
  18,  -4, 132,
  18,  -6, 132,
  18, -17, 129,
  18,  -9, 131,
  18, -10, 131,
  18, -11, 131,
  18, -11, 130,
  17, -11, 132,
  18, -19, 132,
  18, -10, 133,
  18, -10, 131,
  17, -17, 132,
  17, -11, 132,
  17,  -9, 131,
  18,  -9, 132,
  14,  -9, 132,
  18,  -8, 132,
  18,  -9, 133,
  19,  -9, 133,
  19,  -8, 132,
  21,  -7, 132,
  23,  -5, 133,
  27,  -4, 131,
  32,   0, 131,
  40,   0, 131,
  47,  22, 133,
  54,  41, 134,
  61,  65, 136,
  72,  83, 139,
  80,  92, 139,
  84,  98, 140,
  88, 101, 139,
  91, 103, 141,
  92, 106, 141,
-1000,-1000,-1000,
  94, 106, 141,
  95, 107, 141,
  95, 107, 142,
  96, 108, 142,
  96, 108, 142,
  96, 109, 142,
  97, 109, 140,
  96, 109, 142,
  97, 110, 143,
  97, 110, 141,
  97, 109, 142,
  97, 109, 142,
  97, 110, 142,
  97, 109, 141,
  97, 110, 141,
  98, 110, 142,
  97, 110, 141,
  97, 110, 141,
  97, 110, 139,
  97, 109, 141,
  97, 110, 141,
  97, 110, 141,
  97, 109, 141,
  97, 109, 142,
  97, 110, 141,
  97, 110, 141,
  97, 110, 141,
  96, 110, 142,
  97, 108, 141,
  96, 108, 141,
  97, 110, 141,
  96, 109, 141,
  96, 109, 141,
  96, 109, 141,
  97, 110, 141,
  96, 109, 141,
  96, 110, 140,
  96, 110, 141,
  96, 109, 141,
  96, 109, 141,
  96, 109, 140,
  96, 109, 140,
  96, 109, 140,
  96, 109, 140,
  96, 109, 140,
  94, 109, 140,
  95, 109, 140,
  96, 108, 140,
  96, 109, 140,
  95, 109, 141,
  96, 109, 140,
  95, 109, 140,
  95, 109, 141,
  96, 109, 140,
  95, 109, 140,
  95, 107, 140,
  95, 109, 141,
  95, 108, 140,
  96, 106, 140,
  95, 108, 140,
  95, 109, 140,
  95, 107, 139,
  95, 108, 140,
  95, 108, 140,
  94, 106, 140,
  95, 107, 140,
  94, 107, 140,
  94, 106, 140,
  93, 107, 140,
  93, 107, 140,
  94, 106, 139,
  94, 107, 139,
  94, 107, 140,
  93, 106, 140,
  93, 105, 140,
